Start loading...
Read the pickle file of test set...
Read the pickle file of train set...
train_size: 400
test_size: 240
Start training...
The 1 round begin...
Epoch [16/20], Loss: 1.1093
Epoch [17/20], Loss: 1.3588
Epoch [18/20], Loss: 1.1335
Epoch [19/20], Loss: 1.0178
Epoch [20/20], Loss: 0.8406
The accuracy of total 240 images: 42.9167%
The 9 round begin...
Epoch [1/20], Loss: 0.8972
Epoch [2/20], Loss: 0.8554
Epoch [3/20], Loss: 0.8910
Epoch [4/20], Loss: 1.1022
Epoch [5/20], Loss: 1.1808
Epoch [6/20], Loss: 0.8782
Epoch [7/20], Loss: 0.8439
Epoch [8/20], Loss: 0.7876
Epoch [9/20], Loss: 0.8827
Epoch [10/20], Loss: 0.6372
Epoch [11/20], Loss: 0.8858
Epoch [12/20], Loss: 0.8968
Epoch [13/20], Loss: 1.0728
Epoch [14/20], Loss: 0.7781
Epoch [15/20], Loss: 0.7520
Epoch [16/20], Loss: 1.1576
Epoch [17/20], Loss: 0.9187
Epoch [18/20], Loss: 0.8695
Epoch [19/20], Loss: 0.8356
Epoch [20/20], Loss: 1.1398
The accuracy of total 240 images: 40.0000%
The 10 round begin...
Epoch [1/20], Loss: 0.9073
Epoch [2/20], Loss: 1.0398
Epoch [3/20], Loss: 1.1119
Epoch [4/20], Loss: 1.0370
Epoch [5/20], Loss: 0.8651
Epoch [6/20], Loss: 1.0281
Epoch [7/20], Loss: 1.0480
Epoch [8/20], Loss: 0.7448
Epoch [9/20], Loss: 1.1849
Epoch [10/20], Loss: 1.1340
Epoch [11/20], Loss: 0.9999
Epoch [12/20], Loss: 1.0688
Epoch [13/20], Loss: 0.7506
Epoch [14/20], Loss: 1.0030
Epoch [15/20], Loss: 0.8632
Epoch [16/20], Loss: 0.9800
Epoch [17/20], Loss: 0.8622
Epoch [18/20], Loss: 0.7597
Epoch [19/20], Loss: 1.0392
Epoch [20/20], Loss: 1.1059
The accuracy of total 240 images: 40.0000%
