Start loading...
Read the pickle file of test set...
Read the pickle file of train set...
train_size: 400
test_size: 240
Start training...
The 1 round begin...
Epoch [1/20], Loss: 1.2072
Epoch [2/20], Loss: 1.2106
Epoch [3/20], Loss: 1.2053
Epoch [4/20], Loss: 1.4371
Epoch [5/20], Loss: 1.2158
Epoch [6/20], Loss: 1.2431
Epoch [7/20], Loss: 1.3693
Epoch [8/20], Loss: 1.2323
Epoch [9/20], Loss: 1.2114
Epoch [10/20], Loss: 1.2124
Epoch [11/20], Loss: 1.3602
Epoch [12/20], Loss: 1.2502
Epoch [13/20], Loss: 1.2183
Epoch [14/20], Loss: 1.2567
Epoch [15/20], Loss: 1.2021
Epoch [16/20], Loss: 1.0547
Epoch [17/20], Loss: 1.2597
Epoch [18/20], Loss: 1.3844
Epoch [19/20], Loss: 1.4473
Epoch [20/20], Loss: 1.0421
The accuracy of total 240 images: 45.4167%
The 2 round begin...
Epoch [1/20], Loss: 1.1786
Epoch [2/20], Loss: 1.1691
Epoch [3/20], Loss: 1.3635
Epoch [4/20], Loss: 1.2133
Epoch [5/20], Loss: 1.0966
Epoch [6/20], Loss: 1.3053
Epoch [7/20], Loss: 1.1668
Epoch [8/20], Loss: 1.3103
Epoch [9/20], Loss: 1.1083
Epoch [10/20], Loss: 1.1165
Epoch [11/20], Loss: 1.1586
Epoch [12/20], Loss: 1.1330
Epoch [13/20], Loss: 1.4321
Epoch [14/20], Loss: 1.0513
Epoch [15/20], Loss: 1.1167
Epoch [16/20], Loss: 1.1493
Epoch [17/20], Loss: 1.4032
Epoch [18/20], Loss: 1.2233
Epoch [19/20], Loss: 1.1446
Epoch [20/20], Loss: 1.5237
The accuracy of total 240 images: 46.6667%
The 3 round begin...
Epoch [1/20], Loss: 1.0949
Epoch [2/20], Loss: 1.3292
Epoch [3/20], Loss: 0.9661
Epoch [4/20], Loss: 1.1591
Epoch [5/20], Loss: 0.9583
Epoch [6/20], Loss: 1.2577
Epoch [7/20], Loss: 1.1567
Epoch [8/20], Loss: 1.3083
Epoch [9/20], Loss: 1.0242
Epoch [10/20], Loss: 0.9887
Epoch [11/20], Loss: 1.0987
Epoch [12/20], Loss: 1.3246
Epoch [13/20], Loss: 1.1902
Epoch [14/20], Loss: 1.2980
Epoch [15/20], Loss: 1.3309
Epoch [16/20], Loss: 1.3794
Epoch [17/20], Loss: 1.2092
Epoch [18/20], Loss: 1.2612
Epoch [19/20], Loss: 1.1382
Epoch [20/20], Loss: 1.0940
The accuracy of total 240 images: 45.0000%
The 4 round begin...
Epoch [1/20], Loss: 1.1842
Epoch [2/20], Loss: 1.0955
Epoch [3/20], Loss: 1.2123
Epoch [4/20], Loss: 1.2430
Epoch [5/20], Loss: 1.4711
Epoch [6/20], Loss: 1.2127
Epoch [7/20], Loss: 1.2688
Epoch [8/20], Loss: 1.1102
Epoch [9/20], Loss: 1.3930
Epoch [10/20], Loss: 1.0602
Epoch [11/20], Loss: 1.4513
Epoch [12/20], Loss: 1.3557
Epoch [13/20], Loss: 1.1160
Epoch [14/20], Loss: 0.9652
Epoch [15/20], Loss: 0.9839
Epoch [16/20], Loss: 1.2516
Epoch [17/20], Loss: 1.3734
Epoch [18/20], Loss: 1.5187
Epoch [19/20], Loss: 1.1545
Epoch [20/20], Loss: 1.3333
The accuracy of total 240 images: 46.6667%
The 5 round begin...
Epoch [1/20], Loss: 0.9298
Epoch [2/20], Loss: 1.3347
Epoch [3/20], Loss: 1.0955
Epoch [4/20], Loss: 1.1359
Epoch [5/20], Loss: 1.2047
Epoch [6/20], Loss: 1.2227
Epoch [7/20], Loss: 1.1730
Epoch [8/20], Loss: 1.3155
Epoch [9/20], Loss: 1.3426
Epoch [10/20], Loss: 1.2543
Epoch [11/20], Loss: 1.2683
Epoch [12/20], Loss: 0.9907
Epoch [13/20], Loss: 1.2006
Epoch [14/20], Loss: 0.9859
Epoch [15/20], Loss: 1.2064
Epoch [16/20], Loss: 1.0644
Epoch [17/20], Loss: 1.3030
Epoch [18/20], Loss: 1.2319
Epoch [19/20], Loss: 1.3216
Epoch [20/20], Loss: 1.0563
The accuracy of total 240 images: 47.0833%
The 6 round begin...
Epoch [1/20], Loss: 1.4355
Epoch [2/20], Loss: 1.3813
Epoch [3/20], Loss: 1.0750
Epoch [4/20], Loss: 1.3362
Epoch [5/20], Loss: 1.2982
Epoch [6/20], Loss: 1.2126
Epoch [7/20], Loss: 1.3718
Epoch [8/20], Loss: 1.0467
Epoch [9/20], Loss: 0.8704
Epoch [10/20], Loss: 0.9657
Epoch [11/20], Loss: 1.2222
Epoch [12/20], Loss: 1.3041
Epoch [13/20], Loss: 1.4715
Epoch [14/20], Loss: 1.2699
Epoch [15/20], Loss: 1.1378
Epoch [16/20], Loss: 1.2262
Epoch [17/20], Loss: 1.0012
Epoch [18/20], Loss: 1.2755
Epoch [19/20], Loss: 1.2128
Epoch [20/20], Loss: 1.2138
The accuracy of total 240 images: 47.0833%
The 7 round begin...
Epoch [1/20], Loss: 1.2192
Epoch [2/20], Loss: 1.1653
Epoch [3/20], Loss: 1.0988
Epoch [4/20], Loss: 1.2761
Epoch [5/20], Loss: 1.1771
Epoch [6/20], Loss: 1.2187
Epoch [7/20], Loss: 1.2712
Epoch [8/20], Loss: 1.2461
Epoch [9/20], Loss: 1.2133
Epoch [10/20], Loss: 1.5045
Epoch [11/20], Loss: 1.1106
Epoch [12/20], Loss: 1.2520
Epoch [13/20], Loss: 1.4352
Epoch [14/20], Loss: 1.4012
Epoch [15/20], Loss: 1.1305
Epoch [16/20], Loss: 1.2165
Epoch [17/20], Loss: 1.4022
Epoch [18/20], Loss: 1.1027
Epoch [19/20], Loss: 1.2326
Epoch [20/20], Loss: 1.1205
The accuracy of total 240 images: 45.8333%
The 8 round begin...
Epoch [1/20], Loss: 1.4786
Epoch [2/20], Loss: 1.3113
Epoch [3/20], Loss: 1.1487
Epoch [4/20], Loss: 1.2043
Epoch [5/20], Loss: 0.9026
Epoch [6/20], Loss: 1.0242
Epoch [7/20], Loss: 1.2152
Epoch [8/20], Loss: 1.2041
Epoch [9/20], Loss: 1.1211
Epoch [10/20], Loss: 1.2732
Epoch [11/20], Loss: 1.1953
Epoch [12/20], Loss: 1.2242
Epoch [13/20], Loss: 1.4248
Epoch [14/20], Loss: 1.2888
Epoch [15/20], Loss: 1.0684
Epoch [16/20], Loss: 1.0964
Epoch [17/20], Loss: 1.3640
Epoch [18/20], Loss: 1.0926
Epoch [19/20], Loss: 1.3014
Epoch [20/20], Loss: 0.9924
The accuracy of total 240 images: 46.6667%
The 9 round begin...
Epoch [1/20], Loss: 1.1411
Epoch [2/20], Loss: 1.1625
Epoch [3/20], Loss: 1.1513
Epoch [4/20], Loss: 1.3384
Epoch [5/20], Loss: 1.0103
Epoch [6/20], Loss: 1.1824
Epoch [7/20], Loss: 1.1095
Epoch [8/20], Loss: 1.0812
Epoch [9/20], Loss: 0.9193
Epoch [10/20], Loss: 1.2275
Epoch [11/20], Loss: 1.2147
Epoch [12/20], Loss: 1.2631
Epoch [13/20], Loss: 1.1486
Epoch [14/20], Loss: 1.1253
Epoch [15/20], Loss: 0.8592
Epoch [16/20], Loss: 1.1783
Epoch [17/20], Loss: 1.2694
Epoch [18/20], Loss: 1.2883
Epoch [19/20], Loss: 1.3988
Epoch [20/20], Loss: 1.1458
The accuracy of total 240 images: 45.8333%
The 10 round begin...
Epoch [1/20], Loss: 1.2240
Epoch [2/20], Loss: 1.2816
Epoch [3/20], Loss: 1.2195
Epoch [4/20], Loss: 1.2511
Epoch [5/20], Loss: 1.2602
Epoch [6/20], Loss: 1.2047
Epoch [7/20], Loss: 1.1147
Epoch [8/20], Loss: 1.2654
Epoch [9/20], Loss: 1.1751
Epoch [10/20], Loss: 1.0667
