Start loading...
Read the pickle file of test set...
Read the pickle file of train set...
train_size: 400
test_size: 240
Start training...
The 1 round begin...
Epoch [1/20], Loss: 1.3229
Epoch [2/20], Loss: 1.2558
Epoch [3/20], Loss: 1.4409
Epoch [4/20], Loss: 1.3904
Epoch [5/20], Loss: 1.1727
Epoch [6/20], Loss: 1.1838
Epoch [7/20], Loss: 1.3909
Epoch [8/20], Loss: 1.1736
Epoch [9/20], Loss: 1.3755
Epoch [10/20], Loss: 1.4194
Epoch [11/20], Loss: 1.1921
Epoch [12/20], Loss: 1.3631
Epoch [13/20], Loss: 1.2026
Epoch [14/20], Loss: 0.9031
Epoch [15/20], Loss: 1.3200
Epoch [16/20], Loss: 1.1527
Epoch [17/20], Loss: 1.1892
Epoch [18/20], Loss: 1.2628
Epoch [19/20], Loss: 1.4258
Epoch [20/20], Loss: 1.3882
The accuracy of total 240 images: 45.4167%
The 2 round begin...
Epoch [1/20], Loss: 1.1282
Epoch [2/20], Loss: 1.3129
Epoch [3/20], Loss: 1.0141
Epoch [4/20], Loss: 1.5405
Epoch [5/20], Loss: 0.9654
Epoch [6/20], Loss: 1.3200
Epoch [7/20], Loss: 1.2229
Epoch [8/20], Loss: 1.2139
Epoch [9/20], Loss: 1.1005
Epoch [10/20], Loss: 0.9733
Epoch [11/20], Loss: 1.1823
Epoch [12/20], Loss: 1.2402
Epoch [13/20], Loss: 1.2590
Epoch [14/20], Loss: 1.0597
Epoch [15/20], Loss: 1.2939
Epoch [16/20], Loss: 1.1515
Epoch [17/20], Loss: 1.2422
Epoch [18/20], Loss: 1.4596
Epoch [19/20], Loss: 1.1978
Epoch [20/20], Loss: 1.2130
The accuracy of total 240 images: 46.6667%
The 3 round begin...
Epoch [1/20], Loss: 1.0076
Epoch [2/20], Loss: 1.1594
Epoch [3/20], Loss: 1.2662
Epoch [4/20], Loss: 1.3132
Epoch [5/20], Loss: 1.1915
Epoch [6/20], Loss: 1.2494
Epoch [7/20], Loss: 1.2732
Epoch [8/20], Loss: 1.1685
Epoch [9/20], Loss: 1.3661
Epoch [10/20], Loss: 1.2581
Epoch [11/20], Loss: 0.9860
Epoch [12/20], Loss: 1.0598
Epoch [13/20], Loss: 1.2632
Epoch [14/20], Loss: 1.1959
Epoch [15/20], Loss: 0.8250
Epoch [16/20], Loss: 1.1129
Epoch [17/20], Loss: 1.3546
Epoch [18/20], Loss: 1.2298
Epoch [19/20], Loss: 0.9399
Epoch [20/20], Loss: 0.9743
The accuracy of total 240 images: 47.0833%
The 4 round begin...
Epoch [1/20], Loss: 1.2943
Epoch [2/20], Loss: 1.1451
Epoch [3/20], Loss: 1.2134
Epoch [4/20], Loss: 1.0806
Epoch [5/20], Loss: 1.0308
Epoch [6/20], Loss: 0.9140
Epoch [7/20], Loss: 1.1753
Epoch [8/20], Loss: 1.1027
Epoch [9/20], Loss: 1.4525
Epoch [10/20], Loss: 1.2040
Epoch [11/20], Loss: 1.2540
Epoch [12/20], Loss: 1.0068
Epoch [13/20], Loss: 1.0238
Epoch [14/20], Loss: 1.0955
Epoch [15/20], Loss: 1.2499
Epoch [16/20], Loss: 1.0948
Epoch [17/20], Loss: 0.9457
Epoch [18/20], Loss: 1.0939
Epoch [19/20], Loss: 1.0240
Epoch [20/20], Loss: 1.2501
The accuracy of total 240 images: 47.0833%
The 5 round begin...
Epoch [1/20], Loss: 1.2340
Epoch [2/20], Loss: 0.7173
Epoch [3/20], Loss: 1.0227
Epoch [4/20], Loss: 1.4841
Epoch [5/20], Loss: 0.9845
Epoch [6/20], Loss: 0.8317
Epoch [7/20], Loss: 1.0192
Epoch [8/20], Loss: 1.4028
Epoch [9/20], Loss: 0.8530
Epoch [10/20], Loss: 0.9031
Epoch [11/20], Loss: 1.1038
Epoch [12/20], Loss: 1.1953
Epoch [13/20], Loss: 1.2097
Epoch [14/20], Loss: 1.2884
Epoch [15/20], Loss: 1.2903
Epoch [16/20], Loss: 1.1649
Epoch [17/20], Loss: 1.4123
Epoch [18/20], Loss: 0.7524
Epoch [19/20], Loss: 0.9907
Epoch [20/20], Loss: 1.0460
The accuracy of total 240 images: 46.2500%
The 6 round begin...
Epoch [1/20], Loss: 1.1532
Epoch [2/20], Loss: 1.0665
Epoch [3/20], Loss: 0.9344
Epoch [4/20], Loss: 1.0203
Epoch [5/20], Loss: 1.0764
Epoch [6/20], Loss: 0.9092
Epoch [7/20], Loss: 1.0536
Epoch [8/20], Loss: 1.1938
Epoch [9/20], Loss: 0.8800
Epoch [10/20], Loss: 1.0292
Epoch [11/20], Loss: 1.0012
Epoch [12/20], Loss: 1.0436
Epoch [13/20], Loss: 0.8678
Epoch [14/20], Loss: 1.1090
Epoch [15/20], Loss: 1.2430
Epoch [16/20], Loss: 1.2334
Epoch [17/20], Loss: 0.9482
Epoch [18/20], Loss: 1.3384
Epoch [19/20], Loss: 1.2124
Epoch [20/20], Loss: 1.0107
The accuracy of total 240 images: 45.8333%
The 7 round begin...
Epoch [1/20], Loss: 1.1384
Epoch [2/20], Loss: 1.2648
Epoch [3/20], Loss: 1.3800
Epoch [4/20], Loss: 1.2271
Epoch [5/20], Loss: 0.9273
Epoch [6/20], Loss: 0.9523
Epoch [7/20], Loss: 0.8315
Epoch [8/20], Loss: 1.2297
Epoch [9/20], Loss: 1.0277
Epoch [10/20], Loss: 0.9619
Epoch [11/20], Loss: 0.9502
Epoch [12/20], Loss: 1.0885
Epoch [13/20], Loss: 1.0354
Epoch [14/20], Loss: 1.0154
Epoch [15/20], Loss: 1.2800
Epoch [16/20], Loss: 1.0019
Epoch [17/20], Loss: 0.8172
Epoch [18/20], Loss: 1.1580
Epoch [19/20], Loss: 0.9061
Epoch [20/20], Loss: 1.1378
The accuracy of total 240 images: 46.2500%
The 8 round begin...
Epoch [1/20], Loss: 1.2461
Epoch [2/20], Loss: 1.1706
Epoch [3/20], Loss: 0.9401
Epoch [4/20], Loss: 0.8678
Epoch [5/20], Loss: 0.9041
Epoch [6/20], Loss: 0.9528
Epoch [7/20], Loss: 0.9834
Epoch [8/20], Loss: 1.1703
Epoch [9/20], Loss: 1.3324
Epoch [10/20], Loss: 0.9952
Epoch [11/20], Loss: 0.8372
Epoch [12/20], Loss: 0.7943
Epoch [13/20], Loss: 1.1617
Epoch [14/20], Loss: 1.0737
Epoch [15/20], Loss: 0.7190
Epoch [16/20], Loss: 0.8808
Epoch [17/20], Loss: 0.9042
Epoch [18/20], Loss: 1.0706
Epoch [19/20], Loss: 0.9920
Epoch [20/20], Loss: 1.3034
The accuracy of total 240 images: 45.8333%
The 9 round begin...
Epoch [1/20], Loss: 1.5278
Epoch [2/20], Loss: 0.9372
Epoch [3/20], Loss: 1.4408
Epoch [4/20], Loss: 0.8767
Epoch [5/20], Loss: 1.3127
Epoch [6/20], Loss: 0.9651
Epoch [7/20], Loss: 0.7740
Epoch [8/20], Loss: 0.8381
Epoch [9/20], Loss: 1.1498
Epoch [10/20], Loss: 1.1164
Epoch [11/20], Loss: 1.2382
Epoch [12/20], Loss: 1.0583
Epoch [13/20], Loss: 1.1596
Epoch [14/20], Loss: 1.2005
Epoch [15/20], Loss: 1.3489
Epoch [16/20], Loss: 1.0804
Epoch [17/20], Loss: 1.4316
Epoch [18/20], Loss: 0.8630
Epoch [19/20], Loss: 0.9050
Epoch [20/20], Loss: 0.9796
The accuracy of total 240 images: 46.6667%
The 10 round begin...
Epoch [1/20], Loss: 1.2589
Epoch [2/20], Loss: 0.7778
Epoch [3/20], Loss: 0.8992
Epoch [4/20], Loss: 1.1224
Epoch [5/20], Loss: 1.4428
Epoch [6/20], Loss: 1.4029
Epoch [7/20], Loss: 1.0869
Epoch [8/20], Loss: 1.0065
Epoch [9/20], Loss: 1.0803
Epoch [10/20], Loss: 0.7241
Epoch [11/20], Loss: 1.0655
Epoch [12/20], Loss: 0.9979
Epoch [13/20], Loss: 0.9022
Epoch [14/20], Loss: 1.1539
Epoch [15/20], Loss: 1.2165
Epoch [16/20], Loss: 1.1061
Epoch [17/20], Loss: 0.9043
Epoch [18/20], Loss: 0.8828
Epoch [19/20], Loss: 0.6658
Epoch [20/20], Loss: 0.9295
The accuracy of total 240 images: 46.2500%
