Start loading...
Read the pickle files...
train_size: 960
test_size: 240
Start training...
Epoch [16/20], Loss: 0.9951
Epoch [17/20], Loss: 0.9887
Epoch [18/20], Loss: 1.1164
Epoch [19/20], Loss: 0.9966
Epoch [20/20], Loss: 1.2036
The accuracy of total 240 images: 51.2500%
The 9 round begin...
Epoch [1/20], Loss: 1.2467
Epoch [2/20], Loss: 1.0326
Epoch [3/20], Loss: 0.9775
Epoch [4/20], Loss: 1.0320
Epoch [5/20], Loss: 1.1093
Epoch [6/20], Loss: 0.9569
Epoch [7/20], Loss: 1.1589
Epoch [8/20], Loss: 0.9927
Epoch [9/20], Loss: 0.9839
Epoch [10/20], Loss: 0.9920
Epoch [11/20], Loss: 0.9379
Epoch [12/20], Loss: 0.9952
Epoch [13/20], Loss: 1.0181
Epoch [14/20], Loss: 1.0241
Epoch [15/20], Loss: 1.0619
Epoch [16/20], Loss: 1.0492
Epoch [17/20], Loss: 1.0602
Epoch [18/20], Loss: 1.1407
Epoch [19/20], Loss: 0.9591
Epoch [20/20], Loss: 1.1018
The accuracy of total 240 images: 47.0833%
The 10 round begin...
Epoch [1/20], Loss: 1.1169
Epoch [2/20], Loss: 1.1188
Epoch [3/20], Loss: 0.8980
Epoch [4/20], Loss: 0.7582
Epoch [5/20], Loss: 1.1184
Epoch [6/20], Loss: 1.0495
Epoch [7/20], Loss: 1.1383
Epoch [8/20], Loss: 0.9408
Epoch [9/20], Loss: 1.0666
Epoch [10/20], Loss: 0.9692
Epoch [11/20], Loss: 0.9068
Epoch [12/20], Loss: 1.0063
Epoch [13/20], Loss: 0.8893
Epoch [14/20], Loss: 1.0319
Epoch [15/20], Loss: 1.2447
Epoch [16/20], Loss: 1.0502
Epoch [17/20], Loss: 1.0566
Epoch [18/20], Loss: 0.8798
Epoch [19/20], Loss: 1.0282
Epoch [20/20], Loss: 1.1165
The accuracy of total 240 images: 47.9167%
